"Name","Brand","Colour","Body","Top","Neck","Fretboard","Frets","Scale","Pickups","Tremolo","Bag","Case","Price"
"Harley Benton CST-24T P90 Black Flame","Harley Benton","Black","Mahogany","Maple","Mahogany","Jatoba","24","635 mm","P90, P90","Wilkinson","No","No","€ 249"
"Fender Boxer Stratocaster Inca Silver","Fender","Silver","Basswood","None","Maple","Rosewood","22","648 mm","HH","Standard","Yes","No","€ 1.177"
"Fender Squier Affinity Strat IL BK","Fender","Black","Poplar","None","Maple","Indian Laurel","21","648 mm","SSS","Vintage","No","No","€ 205"
"Fender Squier Bullet Strat HSS BSB","Fender","Sunburst","Basswood","None","Maple","Indian Laurel","21","648 mm","HSS","Standard","No","No","€ 133"
"Harley Benton Electric Guitar Kit ST-Style","Harley Benton","Natural","Solid Wood","None","Maple","Amaranth","22","648 mm","SSS","Vintage","No","No","€ 77"
"Fender Squier Affinity Strat MN BK","Fender","Black","Poplar","None","Maple","Maple","21","648 mm","SSS","Vintage","No","No","€ 205"
"Harley Benton ST-62CC MN Charcoal Frost","Harley Benton","Blue","Basswood","None","Maple","Maple","22","648 mm","SSS","Standard","No","No","€ 169"
"Harley Benton ST-62CC RW Inca Silver","Harley Benton","Silver","Basswood","None","Maple","Pau Ferro","22","648 mm","SSS","Standard","No","No","€ 149"
"Fender Squier Affinity IL BSB","Fender","Sunburst","Poplar","None","Maple","Indian Laurel","21","648 mm","SSS","Standard","No","No","€ 199"
"Harley Benton ST-62CC RW Lake Placid Blue","Harley Benton","Blue","Basswood","None","Maple","Pau Ferro","22","648 mm","SSS","Standard","No","No","€ 149"
"Fender Squier Affinity Strat MN 2TSB","Fender","Sunburst","Poplar","None","Maple","Maple","21","648 mm","SSS","Vintage","No","No","€ 199"
"Harley Benton CST-24T Black Flame","Harley Benton","Black","Mahogany","Maple","Mahogany","Jatoba","24","635 mm","HH","Standard","No","No","€ 249"
"ESP LTD SN 1000 FRM Black Blast","ESP","Black","Ash","None","Maple","Maple","24","648 mm","HSS","Floyd Rose","No","No","€ 1.199"
"Fender Squier Bullet Strat HT HSS IBK","Fender","Black","Basswood","None","Maple","Indian Laurel","21","648 mm","HSS","None","No","No","€ 133"
"Harley Benton Amarok-6 BKNT Flame Burst","Harley Benton","Black Burst","Mahogany","Maple, Laminated","Maple, Mahogany, Maple, Mahogany, Maple","Ebony","24","648 mm","HH","None","No","No","€ 485"
"Harley Benton CST-24T Paradise Flame","Harley Benton","Bernstein","Mahogany","Maple","Mahogany","Jatoba","24","635 mm","HH","Standard","No","No","€ 249"
"Fender Squier Bullet Strat BK","Fender","Black","Basswood","None","Maple","Indian Laurel","21","648 mm","SSS","Standard","No","No","€ 133"
"Harley Benton ST-20HSS SBK Standard Series","Harley Benton","Black","Basswood","None","Maple","Amaranth","22","648 mm","HSS","Vintage","No","No","€ 89"
"Fender Squier Bullet Strat HSS AW","Fender","White","Basswood","None","Maple","Indian Laurel","21","648 mm","HSS","Standard","No","No","€ 133"
"Harley Benton CST-24 Black Cherry Flame DLX","Harley Benton","Black","Mahogany","Maple","Mahogany","Jatoba","24","635 mm","HH","None","No","No","€ 225"
"Harley Benton ST-62CC MN Dakota Red","Harley Benton","Red","Basswood","None","Maple","Maple","22","648 mm","SSS","Standard","No","No","€ 149"
"Harley Benton S-620 TB Rock Series","Harley Benton","Blue","Basswood","Maple","Maple","Roseacer","24","648 mm","HH","FR-Style","No","No","€ 159"
"Fender Player Series Strat PF 3TS","Fender","Sunburst","Alder","None","Maple","Pau Ferro","22","648 mm","SSS","Standard","No","No","€ 649"
"Fender SQ CV 70s Strat LRL OWT","Fender","White","Poplar","None","Maple","Laurel","21","648 mm","SSS","Standard","No","No","€ 377"
"PRS SE Standard 24 VC","PRS","Red","Mahogany","None","Maple","Rosewood","24","635 mm","HH","PRS-Style","No","Yes","€ 575"
"Jackson JS22 Dinky BLK AH","Jackson","Black","Poplar","None","Maple","Amaranth","24","648 mm","HH","Standard","No","No","€ 199"
"ESP LTD M-1000HT BP Black Fade","ESP","Black","Alder","Poplar","Maple","Ebony","24","648 mm","HH","None","No","No","€ 1.299"
"Fender Player Series Strat PF PWT","Fender","White","Alder","None","Maple","Pau Ferro","22","648 mm","SSS","Standard","No","No","€ 649"
